DistrictNbr|SYear|All_Subjects_All_Grades_Appr_18|All_Grades_ELA_Appr_18|All_Grades_Math_Appr_18
210901|17-18|73|67|82
210902|17-18|81|78|86
210903|17-18|82|79|87
210904|17-18|65|63|77
210905|17-18|76|70|91
210906|17-18|72|74|-1
211901|17-18|76|77|91
211902|17-18|79|80|85
212801|17-18|76|76|75
212804|17-18|87|87|88
212901|17-18|76|75|83
212902|17-18|87|85|92
212903|17-18|87|85|92
212904|17-18|84|81|88
212905|17-18|70|66|75
212906|17-18|87|85|92
212909|17-18|70|69|73
212910|17-18|66|66|69
213801|17-18|61|-1|-1
213901|17-18|85|86|86
214901|17-18|70|64|77
214902|17-18|79|78|85
214903|17-18|78|71|85
215901|17-18|70|67|79
216901|17-18|86|84|89
217901|17-18|76|70|80
218901|17-18|83|79|88
219901|17-18|89|90|94
219903|17-18|59|56|57
219905|17-18|70|72|75
220801|17-18|85|84|89
220802|17-18|93|94|92
220809|17-18|94|96|95
220810|17-18|96|97|97
220811|17-18|72|74|78
220814|17-18|84|86|87
220815|17-18|74|76|76
220817|17-18|76|79|75
220819|17-18|75|80|77
220901|17-18|72|69|77
220902|17-18|81|77|86
220904|17-18|73|69|79
220905|17-18|67|65|70
220906|17-18|88|88|89
220907|17-18|86|86|89
220908|17-18|85|83|89
220910|17-18|61|60|65
220912|17-18|67|66|71
220914|17-18|78|78|81
220915|17-18|81|79|85
220916|17-18|86|84|89
220917|17-18|69|66|77
220918|17-18|81|79|82
220919|17-18|97|97|98
220920|17-18|78|77|82
221801|17-18|75|80|74
